pathogen,disease,symptoms
Actinomyces viscosus,actinomycosis;Actinomycosis,
Actinopterygii,fish allergy,
Actinotignum schaalii,"Pyelonephritis, UTI, septicaemia, superficial skin infection",
Actinotignum urinale,"Pyelonephritis, UTI, septicaemia, superficial skin infection",
Adeno-associated dependoparvovirus A,,
Adeno-associated dependoparvovirus B,,
Advenella incenata,"Pulmonary infection, bacteraemia",
Aedes <genus>,Zika fever,
Aerococcus sanguinicola,"Endocarditis, UTI, wounds, meningitis, abscesses, CAPD peritonitis, lymphadenitis, spondodactylitis",
Aerococcus urinae,"Endocarditis, UTI, wounds, meningitis, abscesses, CAPD peritonitis, lymphadenitis, spondodactylitis",
Aerococcus urinaehominis,"Endocarditis, UTI, wounds, meningitis, abscesses, CAPD peritonitis, lymphadenitis, spondodactylitis",
Aerococcus viridans,"Endocarditis, UTI, wounds, meningitis, abscesses, CAPD peritonitis, lymphadenitis, spondodactylitis",
Aeromonas allosaccharophila,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
Aeromonas bestiarum,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
Aeromonas caviae,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
Aeromonas enteropelogenes,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
Aeromonas hydrophila,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
Aeromonas jandaei,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
Aeromonas media,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
Aeromonas salmonicida,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
Aeromonas schubertii,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
Aeromonas veronii,"Wound infection, abscesses, septicaemia, meningitis, leech-bite infection, alligator-bite infection, acute diarrhoea",
Afipia birgiae,Pneumonia,
Afipia broomeae,"Bone marrow infection, septic arthritis",
Afipia clevelandensis,Bone infection,
Afipia felis,Cat-scratch disease,
Afipia massiliensis,Pneumonia,
Aggregatibacter actinomycetemcomitans,"Periodontitis, endocarditis, abscesses, pericarditis, meningitis",
Aggregatibacter aphrophilus,"Sinusitis, otitis media, pneumonia, abscesses, endocarditis",
Aggregatibacter segnis,"Sinusitis, otitis media, pneumonia, abscesses, endocarditis",
Agrobacterium tumefaciens,"Endocarditis, CAPD peritonitis, UTI, line sepsis",
Aguacate virus,,
Aichivirus A,,
Akabane orthobunyavirus,,
Alcaligenes faecalis,"Pneumonia, otitis, UTI, osteomyelitis, bacteraemia",
Alethinophid 1 reptarenavirus,,
Alethinophid 3 reptarenavirus,,
Aleutian mink disease virus,aleutian mink disease,
Alishewanella fetalis,From fetal necropsy specimen,
Alistipes finegoldii,"Appendicitis, peritonitis, abdominal abscess",
Alistipes onderdonkii,"Appendicitis, peritonitis, abdominal abscess",
Alistipes putredinis,"Appendicitis, peritonitis, abdominal abscess",
Alistipes shahii,"Appendicitis, peritonitis, abdominal abscess",
Alkhumra hemorrhagic fever virus,Alkhurma hemorrhagic fever,
Alkhurma hemorrhagic fever virus,Alkhurma hemorrhagic fever,"fever,  headache,  body ache,  joint pain,  anorexia,  vomiting,  leukopenia,  thrombocytopenia, fever,"
Alloiococcus otitis,Otitis media,
Alloprevotella tannerae,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Allpahuayo mammarenavirus,,
Alphapapillomavirus 4,,
Alphapapillomavirus 7,,
Alternaria,phaeohyphomycosis,
Alternaria alternata,,
Alternaria botrytis,,
Alternaria caespitosa,,
Alternaria chartarum,,
Alternaria chlamydospora,,
Alternaria dianthicola,,
Alternaria infectoria,,
Alternaria longipes,,
Alternaria tenuissima,,
Amapar mammarenavirus,,
Ambe virus,,
Amblyomma americanum,human granulocytic anaplasmosis,
Amblyomma cajennense,Flinders Island spotted fever,
Amblyomma hebraeum,African tick-bite fever,
Amblyomma maculatum,Rickettsia parkeri spotted fever,
Amblyomma variegatum,African tick-bite fever,
Amesia atrobrunnea,,
Ammonia,ornithine translocase deficiency,
Amur virus,undocumented,
Amycolatopsis orientalis,,
Amycolatopsis palatopharyngis,Palatopharyngeal infection,
Anaerobiospirillum succiniciproducens,"Diarrhoea, bacteraemia",
Anaerobiospirillum thomasii,"Diarrhoea, bacteraemia",
Anaerococcus hydrogenalis,"Mixed anaerobic infections, abscesses",
Anaerococcus lactolyticus,"Mixed anaerobic infections, abscesses",
Anaerococcus octavius,"Mixed anaerobic infections, abscesses",
Anaerococcus prevotii,"Mixed anaerobic infections, abscesses",
Anaerococcus tetradius,"Mixed anaerobic infections, abscesses",
Anaerococcus vaginalis,"Mixed anaerobic infections, abscesses",
Anaeroglobus geminatus,From postoperative collection,
Anaerorhabdus furcosa,"Lung abscess, appendix and abdominal abscesses",
Anaplasma phagocytophilum,human granulocytic anaplasmosis;ehrlichiosis;Anaplasmosis,
Andes orthohantavirus,,
Andes virus,hantavirus pulmonary syndrome,
Anhanga virus,,
Anisakis simplex,anisakiasis,
Anjozorobe hantavirus,,
Anopheles <genus>,West Nile encephalitis,
Anopheles funestus,O'nyong'nyong fever,
Anopheles gambiae,O'nyong'nyong fever,
Anthopsis deltoidea,,
Aphanoascus fulvescens,,
Aphanoascus keratinophilus,,
Apiotrichum domesticum,,
Apiotrichum loubieri,,
Apodemus agrarius,Korean hemorrhagic fever,
Apodemus flavicollis,Balkan hemorrhagic fever,
Apoi virus,,
Apophysomyces elegans,,
Arachnomyces nodosetosus,,
Arcanobacterium haemolyticum,"Tonsillitis, cellulitis, lymphadenopathy, brain abscess, septicaemia, osteomyelitis",
Arcobacter butzleri,"Abdominal cramps, diarrhoea",
Arcobacter cryaerophilus,"Abdominal cramps, diarrhoea",
Arnium leporinum,,
Aroa virus,,
Arrabida virus,,
Arthrinium phaeospermum,,
Arthrobacter luteolus,"UTI, bacteraemia, skin infection",
Arthrobacter woluwensis,"UTI, bacteraemia, skin infection",
Arthroderma borellii,,
Arthroderma flavescens,,
Arthroderma gertleri,,
Arthroderma gloriae,,
Arthroderma grubyi,,
Arthroderma insingulare,,
Arthroderma lenticulare,,
Arthroderma olidum,,
Arthroderma phaseoliforme,,
Arthroderma quadrifidum,,
Arthroderma racemosum,,
Arthroderma thuringiensis,,
Arthroderma uncinatum,,
Arthrographis arxii,,
Arumowot virus,,
Asaccharospora irregularis,"Wound infection, bacteraemia, abscesses",
Ascomycota,dermatophytosis;endothrix infectious disease;tinea corporis;tinea cruris;tinea unguium;dermatomycosis;tinea manuum,
Ascotricha chartarum,,
Aspergillus acidus,,
Aspergillus aculeatus,,
Aspergillus alabamensis,,
Aspergillus alliaceus,,
Aspergillus amstelodami,,
Aspergillus avenaceus,,
Aspergillus brasiliensis,,
Aspergillus caesiellus,,
Aspergillus calidoustus,,
Aspergillus candidus,,
Aspergillus carneus,,
Aspergillus chevalieri,,
Aspergillus chlamydosporus,,
Aspergillus clavatonanicus,,
Aspergillus clavatus,,
Aspergillus conicus,,
Aspergillus deflectus,,
Aspergillus fischeri,,
Aspergillus flavus,,
Aspergillus fumigatiaffinis,,
Aspergillus fumigatus,,
Aspergillus fumisynnematus,,
Aspergillus glaucus,,
Aspergillus granulosus,,
Aspergillus insolitus,,
Aspergillus janus,,
Aspergillus japonicus,,
Aspergillus lentulus,,
Aspergillus neoflavipes,,
Aspergillus neoniveus,,
Aspergillus nidulans,,
Aspergillus niger,,
Aspergillus nomius,,
Aspergillus ochraceopetaliformis,,
Aspergillus ochraceus,,
Aspergillus oryzae,,
Aspergillus persii,,
Aspergillus pseudoglaucus,,
Aspergillus quadrilineatus,,
Aspergillus restrictus,,
Aspergillus rugulosus,,
Aspergillus sclerotiorum,,
Aspergillus spinosus,,
Aspergillus sydowii,,
Aspergillus tamarii,,
Aspergillus terreus,,
Aspergillus thermomutatus,,
Aspergillus tritici,,
Aspergillus tubingensis,,
Aspergillus udagawae,,
Aspergillus unguis,,
Aspergillus ustus,,
Aspergillus versicolor,,
Aspergillus viridinutans,,
Atlantibacter hermannii,Wounds,
Atlantibacter subterranea,"Gastroenteritis, enteric fever, osteomyelitis",
Atopobium minutum,"UTI, dental abscesses, pelvic abscesses, wound infection",
Atopobium parvulum,"UTI, dental abscesses, pelvic abscesses, wound infection",
Atopobium rimae,"UTI, dental abscesses, pelvic abscesses, wound infection",
Atopobium vaginae,Bacterial vaginosis,
Aureobasidium,phaeohyphomycosis,
Aureobasidium pullulans,,
Australian bat lyssavirus,,
Avibacterium gallinarum,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
Azohydromonas lata,"Pneumonia, otitis, UTI, osteomyelitis, bacteraemia",
Azospirillum brasilense,"CAPD peritonitis, line sepsis",
Bacillus anthracis,Gastrointestinal anthrax;Anthrax,"throat pain,  fever,  muscles ache,  malaise,  chills,  night sweats,  cough,  dyspnea,  fatigue,  abdominal discomfort,  nausea,  loss of appetite,  vomiting,  abdominal pain,  diarrhea,  toxemia,  lesions in oropharynx,  cervical lymphadenopathy,  cervical edema,  hoarseness,  dysphagia, throat pain,"
Bacillus anthracis '34F2 (NMRC)',Anthrax,
Bacillus anthracis '34F2 delta gerH',Anthrax,
Bacillus anthracis str. 'Ames Ancestor',Anthrax,
Bacillus anthracis str. A0174,Anthrax,
Bacillus anthracis str. A0193,Anthrax,
Bacillus anthracis str. A0389,Anthrax,
Bacillus anthracis str. A0442,Anthrax,
Bacillus anthracis str. A0465,Anthrax,
Bacillus anthracis str. A0488,Anthrax,
Bacillus anthracis str. A1055,Anthrax,
Bacillus anthracis str. A2012,Cutaneous anthrax,
Bacillus anthracis str. Ames,Anthrax,
Bacillus anthracis str. Australia 94,Anthrax,
Bacillus anthracis str. CNEVA-9066,Anthrax,
Bacillus anthracis str. Kruger B,Anthrax,
Bacillus anthracis str. Sterne,Anthrax,
Bacillus anthracis str. Vollum,Anthrax,
Bacillus anthracis str. Western North America USA6153,Anthrax,
Bacillus cereus,"Food poisoning, wound infection, cutaneous lesions, bacteraemia, endocarditis, eye infection",
Bacillus circulans,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
Bacillus coagulans,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
Bacillus licheniformis,"Food poisoning, wound infection, cutaneous lesions, bacteraemia, endocarditis, eye infection",
Bacillus megaterium,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
Bacillus mycoides,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
Bacillus pumilus,"Food poisoning, wound infection, cutaneous lesions, bacteraemia, endocarditis, eye infection",
Bacillus subtilis,"Food poisoning, wound infection, cutaneous lesions, bacteraemia, endocarditis, eye infection",
Bacillus thuringiensis,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
Bacteria,bacterial infectious disease;typhus;Mycobacterium avium complex disease,
Bacteria <prokaryote>,disease by infectious agent,
Bacteroides caccae,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides coagulans,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides eggerthii,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides finegoldii,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides fragilis,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides heparinolyticus,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Bacteroides massiliensis,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides nordii,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides ovatus,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides pyogenes,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides salyersiae,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides stercoris,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides thetaiotaomicron,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides uniformis,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides vulgatus,"Abscesses, bacteraemia, bite infections, wound infections, chronic otitis media, pelvic inflammatory disease, neonatal sepsis",
Bacteroides zoogleoformans,"Abscesses, bacteraemia, wound infection, bite infections, genital tract infections, periodontitis, endodontic infection",
Bagaza virus,,
Balneatrix alpica,"Pneumonia, bacteraemia, meningitis",
Banna virus,,
Barmah Forest virus,Barmah Forest virus disease,
Bartonella bacilliformis,Carrion's disease;Oroya fever; verruga peruana,
Bartonella clarridgeiae,cat-scratch disease;Cat-scratch disease; bacillary angiomatosis,
Bartonella elizabethae,Endocarditis,
Bartonella henselae,cat-scratch disease;Cat-scratch disease; bacillary angiomatosis,
Bartonella quintana,trench fever;Trench fever; bacillary angiomatosis,
Bartonella schoenbuchensis,Deer ked dermatitis,
Bartonella vinsonii subsp. arupensis,Bacteraemia,
Basidiobolus ranarum,,
Batrachochytrium dendrobatidis,,
Bayou virus,Hantavirus pulmonary syndrome,
Bear Canyon mammarenavirus,,
Beilong virus,,
Bergeyella zoohelcum,"Wound infection, septicaemia, meningitis",
Bhanja virus,,
Biatriospora mackinnonii,,
Bifidobacterium adolescentis,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
Bifidobacterium angulatum,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
Bifidobacterium bifidum,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
Bifidobacterium dentium,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
Bifidobacterium longum,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
Bifidobacterium pseudocatenulatum,"Bacteraemia, abscesses, peritonitis, otitis, paronychia",
Bijou Bridge virus,,
Bilophila wadsworthia,"Appendicitis, abscesses, bacteraemia, biliary tract sepsis, mastoiditis",
Bjerkandera adusta,,
Black Creek Canal virus,Hantavirus pulmonary syndrome,
Blastobotrys chiropterorum,,
Blastomyces dermatitidis,,
Blautia hansenii,"Abdominal sepsis, abscesses",
Blautia luti,"Abdominal sepsis, abscesses",
Blautia producta,"Abdominal sepsis, abscesses",
Bokeloh bat lyssavirus,,
Bordetella bronchiseptica,Respiratory tract infection,
Bordetella hinzii,"Bacteraemia, otitis, wound infection",
Bordetella holmesii,"Bacteraemia, otitis, wound infection",
Bordetella parapertussis,pertussis;Whooping cough; respiratory tract infection,
Bordetella pertussis,pertussis;Whooping cough; respiratory tract infection,
Bordetella trematum,"Bacteraemia, otitis, wound infection",
Borna disease virus,borna disease,
Borrelia,relapsing fever,
Borrelia burgdorferi,Lyme disease,
Borrelia caucasica,Relapsing fever,
Borrelia crocidurae,Relapsing fever,
Borrelia duttonii,Relapsing fever,
Borrelia graingeri,Relapsing fever,
Borrelia hermsii,Relapsing fever,
Borrelia hispanica,Relapsing fever,
Borrelia latyschewii,Relapsing fever,
Borrelia mazzottii,Relapsing fever,
Borrelia parkeri,Relapsing fever,
Borrelia persica,Relapsing fever,
Borrelia recurrentis,Relapsing fever,
Borrelia turicatae,Relapsing fever,
Borrelia venezuelensis,Relapsing fever,
Borreliella afzelii,Lyme disease,
Borreliella andersonii,Lyme disease,
Borreliella bissettii,Lyme disease,
Borreliella burgdorferi,Lyme disease,
Borreliella garinii,Lyme disease,
Borreliella japonica,Lyme disease,
Borreliella lusitaniae,Lyme disease,
Borreliella sinica,Lyme disease,
Borreliella spielmanii,Lyme disease,
Borreliella tanukii,Lyme disease,
Borreliella turdi,Lyme disease,
Borreliella valaisiana,Lyme disease,
Bosea massiliensis,Linked with ventilator-associated pneumonia,
Botryotrichum murorum,,
Bouboui virus,,
Bowe orthohantavirus,,
Brachyspira aalborgi,Intestinal spirochaetosis,
Brachyspira pilosicoli,Intestinal spirochaetosis,
Bradyrhizobium elkanii,Detected in tissue from aortic aneurysm,
Brazoran virus,,
Brevibacillus centrosporus,Bacteraemia,
Brevibacillus parabrevis,"Bacteraemia, abscess",
Brevibacterium casei,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
Brevibacterium epidermidis,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
Brevibacterium luteolum,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
Brevibacterium mcbrellneri,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
Brevibacterium otitidis,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
Brevibacterium paucivorans,"Bacteraemia, endocarditis, meningitis, chest infection, pericarditis, vascular catheter sepsis",
Brevundimonas diminuta,"Septicaemia, endocarditis",
Brevundimonas vesicularis,"Septicaemia, endocarditis",
Brucella abortus,Brucellosis;Brucellosis,"fever,  sweat,  headache,  backache,  weakness,  decreased milk production,  loss of weight,  abortion,  infertility,  lameness, fever,"
Brucella abortus S19,Brucellosis,
Brucella abortus bv. 1,Brucellosis,
Brucella abortus bv. 1 str. 9-941,Brucellosis,
Brucella abortus bv. 2 str. 86/8/59,Spontaneous abortion,
Brucella abortus bv. 4 str. 292,Spontaneous abortion,
Brucella canis,Brucellosis;Brucellosis,"fever,  sweat,  headache,  backache,  weakness, fever,"
Brucella melitensis,Brucellosis;Brucellosis,"decreased milk production,  loss of weight,  abortion,  infertility,  lameness,  fever,  sweat,  headache,  backache,  weakness, decreased milk production,"
Brucella melitensis 16M,Brucellosis,"abortion, abortion,"
Brucella melitensis ATCC 23457,Brucellosis,
Brucella melitensis biovar Abortus 2308,undocumented,
Brucella melitensis bv. 1 str. Rev.1,Brucellosis,
Brucella sp.,Brucellosis,"decreased milk production,  loss of weight,  abortion,  infertility,  lameness,  fever,  sweat,  headache,  backache,  weakness, decreased milk production,"
Brucella suis,Brucellosis;Brucellosis,"decreased milk production,  loss of weight,  abortion,  infertility,  lameness,  fever,  sweat,  headache,  backache,  weakness, decreased milk production,"
Brucella suis 1330,unknown,
Brucella suis ATCC 23445,Brucellosis,
Bruges orthohantavirus,,
Bujaru phlebovirus,,
Bulleidia extructa,Necrotizing ulcerative periodontitis in HIV patients,
Bundibugyo ebolavirus,,
Bundibugyo virus,Ebola hemorrhagic fever,
Bunyamwera orthobunyavirus,,
Burkholderia ambifaria,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
Burkholderia anthina,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
Burkholderia cenocepacia,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
Burkholderia cepacia,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
Burkholderia dolosa,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
Burkholderia gladioli,Lung infection in cystic fibrosis,
Burkholderia mallei,Glanders;Glanders,"lymphadenitis,  lymphangitis,  multiple abscesses,  nasal discharge,  respiratory tract mucosa ulcer,  suppurative pneumonia,  pustule,  skin ulcer,  abdominal pain,  fatigue,  fever,  malaise,  night sweats,  weight loss, lymphadenitis,"
Burkholderia mallei ATCC 10399,Glanders,
Burkholderia mallei ATCC 23344,Glanders,
Burkholderia mallei FMH,Glanders,
Burkholderia mallei GB8 horse 4,Glanders,
Burkholderia mallei JHU,Glanders,
Burkholderia mallei SAVP1,Glanders,
Burkholderia multivorans,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
Burkholderia pseudomallei,Melioidosis;Melioidosis,"cough,  diarrhea,  disorientation,  dyspnea,  headache,  hemoptysis,  hepatosplenomegaly,  hyperthermia,  malaise,  muscle tenderness,  pleuritic chest pain,  progressive prostration,  pulmonary consolidation,  anorexia,  mild bronchitis,  muscle soreness,  pneumonia,  ataxia,  dehydration,  dry hacking cough,  listlessness,  nasal discharge,  fever,  respiratory failure,  lethargy,  blindness,  circling movement,  hyperesthesia,  lameness,  mild tetanic convulsion,  nystagmus,  yellow exudate from eyes,  yellow exudate from nose,  abortion,  hind limb paralysis,  progressive emaciation,  salivation,  severe mastitis,  acute meningoencephalitis,  colic,  eczema,  intestinal hypermotility,  keratitis,  limb edema,  lymphangitis,  papular rash,  septicemia,  weakness,  eye discharge,  uncoordinated gait,  abscess,  hemorrhage,  hyperemia,  necrotic lesion,  acute arthritis,  aggressive behavior,  continuous profuse salivation,  panting respiration,  staggering gait,  dermal abscess,  epididymitis,  granulomatous inflammation,  lymphadenitis,  myalgia,  necrosis,  severe diarrhea,  loss of appetite, cough,"
Burkholderia pseudomallei 1106a,Melioidosis,
Burkholderia pseudomallei 1106b,Melioidosis,
Burkholderia pseudomallei 1655,Melioidosis,
Burkholderia pseudomallei 1710a,Melioidosis,
Burkholderia pseudomallei 1710b,Melioidosis,
Burkholderia pseudomallei 406e,Melioidosis,
Burkholderia pseudomallei 668,Melioidosis,
Burkholderia pseudomallei K96243,Melioidosis,
Burkholderia pyrrocinia,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
Burkholderia stabilis,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
Burkholderia vietnamiensis,"Lung infection in cystic fibrosis, bacteraemia, endocarditis, septic arthritis, UTI",
Buttiauxella agrestis,"Appendicitis, wound infection",
Buttiauxella noackiae,"Appendicitis, wound infection",
Butyrivibrio fibrisolvens,Endophthalmitis,
Bwamba orthobunyavirus,,
Byssochlamys spectabilis,,
California encephalitis orthobunyavirus,,
California encephalitis serogroup virus LEIV,,
California encephalitis virus ,,"fever,  chills,  nausea,  vomiting,  headache,  abdominal pain,  seizure, fever,"
Calomys callosus,Bolivian hemorrhagic fever,
Calomys laucha,hantavirus pulmonary syndrome,
Calomys musculinus,Argentine hemorrhagic fever,
Campylobacter coli,"Gastroenteritis, bacteraemia",
Campylobacter concisus,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
Campylobacter curvus,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
Campylobacter fetus subsp. fetus,"Fever, diarrhoea, meningoencephalitis, endocarditis, abscesses",
Campylobacter fetus subsp. venerealis,Bacterial vaginosis,
Campylobacter gracilis,"Periodontitis, appendicitis, peritonitis, head and neck infections, abscesses",
Campylobacter hyointestinalis,"Diarrhoea, bacteraemia, abscess",
